time,open,high,low,close,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,MACD,Signal Line,Histogram,Cross
2021-06-21,60.93,64.925,60.9,64.66,116994112,66.51397803053199,63.58256494006681,NaN,NaN,NaN,NaN,4.0382101741735426,4.067736052178696,-0.029525878005153494,NaN
2021-06-28,64.56,64.56,62.421,63.17,95124589,63.114019400858616,63.39802653294557,NaN,NaN,NaN,NaN,4.00834147471528,4.0711632896508005,-0.06282181493552041,NaN
2021-07-06,62.75,62.76,59.31,61.23,82804107,58.89293484289722,62.96164805083476,NaN,NaN,NaN,NaN,3.784503132123021,4.016817146667588,-0.23231401454456702,NaN
2021-07-12,60.42,61.73,57.15,57.32,103430966,51.42752660673166,62.23048750285479,NaN,NaN,NaN,NaN,3.254094138557882,3.897883268489846,-0.6437891299319642,NaN
2021-07-19,55.64,58.3,54.595,57.04,113215909,50.92964399167224,61.38724673848087,NaN,NaN,NaN,NaN,2.779111660538952,3.7436176318467482,-0.9645059713077964,NaN
2021-07-26,57.16,59.33,57,57.57,99364940,51.879298846401525,60.79047729417249,NaN,NaN,NaN,NaN,2.4175828055607127,3.573001080584276,-1.155418275023563,NaN
2021-08-02,57.55,59.06,56.81,57.86,90018946,52.421875019900234,60.05716178467962,NaN,NaN,NaN,NaN,2.1299168045884613,3.3667889871130328,-1.2368721825245714,NaN
2021-08-09,57.13,58.5,56.3,56.77,91737520,50.13378831291608,58.70415646758226,NaN,NaN,NaN,NaN,1.7933133359681719,3.1189955920901156,-1.3256822561219437,NaN
2021-08-16,56.02,56.2967,52.1,52.74,102945006,42.71106081582762,57.0957023849863,NaN,NaN,NaN,NaN,1.1876745689754316,2.821416455022384,-1.6337418860469524,NaN
2021-08-23,53.95,56.2139,53.95,55.77,80483564,48.84378791083164,56.217178079578005,NaN,NaN,NaN,NaN,0.9413459102890869,2.4773204257018886,-1.5359745154128017,NaN
2021-08-30,56.24,56.34,53.6,54.87,99984438,47.22662298077002,55.30901498111596,NaN,NaN,NaN,NaN,0.6658309109161493,2.1059303630575408,-1.4400994521413915,NaN
2021-09-07,54.67,55.27,53.3,53.98,67347607,45.61814621738672,53.98263032079672,NaN,NaN,NaN,NaN,0.3713866132773447,1.7266951942969102,-1.3553085810195655,NaN
2021-09-13,54.65,56.75,54.41,55.16,113175078,48.1400952109637,52.76989168273784,NaN,NaN,NaN,NaN,0.23059536454861984,1.3907508860736588,-1.160155521525039,NaN
2021-09-20,53.78,57.82,52.96,57.59,118340455,52.97633388470286,52.20207943374229,NaN,NaN,NaN,NaN,0.3115071170882402,1.1165726034680243,-0.8050654863797841,NaN
2021-09-27,58.85,60.99,58.81,60.93,149711280,58.680081997964685,51.64251543141605,NaN,NaN,NaN,NaN,0.6377883235840898,0.9188176610261772,-0.28102933744208747,NaN
2021-10-04,61.32,62.695,59.75,62.18,130573648,60.605933921313884,51.46336646859144,NaN,NaN,NaN,NaN,0.9858686041881342,0.7917011943150298,0.19416740987310432,0.7917011943150298
2021-10-11,63.03,63.07,60.21,62.59,91998866,61.24399314590521,51.63129920452057,NaN,NaN,NaN,NaN,1.2800526576051183,0.7346722300524683,0.54538042755265,NaN
2021-10-18,63.09,63.8725,62.27,63.12,82352589,62.0985918396872,52.39351814973168,NaN,NaN,NaN,NaN,1.5382304469477148,0.7736228831604998,0.7646075637872151,NaN
2021-10-25,63.72,65.94,63.58,64.47,105882056,64.26039210772868,53.34571444373571,NaN,NaN,NaN,NaN,1.8306691087181477,0.8724365718748399,0.9582325368433078,NaN
2021-11-01,65.065,66.0795,63.66,65.02,89614519,65.13293976543108,54.29240308080925,NaN,NaN,NaN,NaN,2.0828000362167103,1.0298775857971245,1.0529224504195858,NaN
2021-11-08,65.55,66.38,63.58,63.82,88132758,61.59932988059881,54.94793557085915,NaN,NaN,NaN,NaN,2.160876403502293,1.2287097847110076,0.9321666187912854,NaN
2021-11-15,63.76,65.37,60.41,60.67,100358510,53.408264742509374,55.181826744401526,NaN,NaN,NaN,NaN,1.9461399231305734,1.419325846775669,0.5268140763549043,NaN
2021-11-22,60.32,63.845,59.54,61.25,84033925,54.60520526895026,56.03140849105314,NaN,NaN,NaN,NaN,1.8019886644560827,1.5849349075943182,0.21705375686176454,NaN
2021-11-29,62.57,63.14,59.14,60.89,135827098,53.68335053479732,56.37709153562212,NaN,NaN,NaN,NaN,1.639796212053497,1.6962691174242523,-0.05647290537075533,1.6962691174242523
2021-12-06,61.72,63.35,61.4199,63.01,92078023,58.16265521536936,57.15823669523636,NaN,NaN,NaN,NaN,1.663152026130632,1.7715228309734188,-0.10837080484278672,NaN
2021-12-13,62.47,62.72,59.69,60.03,125949443,50.735082289386824,57.523732128950655,NaN,NaN,NaN,NaN,1.424776643699552,1.7876032738728003,-0.36282663017324834,NaN
2021-12-20,58.79,61.84,57.96,61.02,69219825,52.88757539618017,57.86283785646612,NaN,NaN,NaN,NaN,1.3007528922940068,1.7612168789112772,-0.4604639866172704,NaN
2021-12-27,60.93,62.31,60.42,61.19,64129073,53.265184926157126,57.88347007371284,NaN,NaN,NaN,NaN,1.2023211452692166,1.6914004385280625,-0.4890792932588459,NaN
2022-01-03,61.24,69.18,61.21,68.88,151561423,66.38880276208454,58.4340929854357,NaN,NaN,NaN,NaN,1.7249478831242158,1.651639088184452,0.07330879493976372,1.651639088184452
2022-01-10,68.97,72.145,67.95,71.87,122797549,69.92508549076798,59.09974666896813,NaN,NaN,NaN,NaN,2.3532742688154684,1.673016628774805,0.6802576400406635,NaN
2022-01-18,72.82,74.37,71.04,72.17,121189472,70.26314471200786,59.74397178083261,NaN,NaN,NaN,NaN,2.842666459669694,1.7726306883902627,1.070035771279431,NaN
2022-01-24,70.88,76.01,69.805,75.28,175877280,73.57876858386766,60.563984405416925,NaN,NaN,NaN,NaN,3.4417894985478554,1.9548307810671264,1.486958717480729,NaN
